League ID,League Name,Country,Sport,Revenue (USD),Average Player Salary (USD),Top Team,Total Teams,Founded Year,Viewership
L001,Premier League,England,Football,5275330000,12080000,Liverpool,16,1886,485.9
L002,Serie A,India,American Football,7088640000,6730000,Inter Milan,13,1977,135.01
L003,IPL,England,American Football,7930520000,14360000,Chennai Super Kings,13,1979,157.49
L004,La Liga,Spain,American Football,4972890000,13720000,Atletico Madrid,22,1999,245.71
L005,Serie A,Italy,Basketball,6265740000,7450000,Juventus,16,1963,52.83
L006,NFL,England,American Football,6230530000,1640000,New England Patriots,28,1924,107.82
L007,La Liga,Spain,Basketball,7764560000,6670000,Real Madrid,22,1932,140.43
L008,La Liga,Italy,American Football,7345940000,3430000,Real Madrid,10,1980,150
L009,NBA,USA,American Football,3134960000,6730000,Los Angeles Lakers,21,1989,488.9
L010,Bundesliga,Spain,Football,3498290000,3080000,Borussia Dortmund,29,1981,378.51
L011,Bundesliga,India,Basketball,6989110000,13780000,Bayern Munich,20,1880,349.45
L012,Serie A,France,Football,1540640000,1670000,Inter Milan,18,2013,315.42
L013,IPL,Spain,American Football,3644620000,10230000,Chennai Super Kings,16,1958,374.06
L014,NFL,Italy,American Football,7845970000,9440000,Green Bay Packers,18,1956,379.94
L015,IPL,France,American Football,5012560000,2480000,Chennai Super Kings,12,1944,490.29
L016,Ligue 1,Germany,Cricket,5064830000,14910000,Lyon,31,1893,259.39
L017,La Liga,USA,American Football,6655720000,2150000,Atletico Madrid,19,2018,315.92
L018,NBA,France,Football,3989320000,13480000,Miami Heat,23,1889,470.62
L019,Bundesliga,India,Cricket,5922640000,7580000,RB Leipzig,13,1996,181.48
L020,IPL,India,Basketball,2575200000,10800000,Mumbai Indians,31,1921,113
L021,Ligue 1,India,Football,4147490000,5650000,Lyon,10,1895,343.04
L022,NFL,Germany,Basketball,689460000,5000000,Green Bay Packers,13,1968,176.73
L023,NBA,Italy,Cricket,6817730000,2360000,Miami Heat,17,1904,75.91
L024,NBA,Germany,Football,6797150000,3710000,Miami Heat,29,1896,77.24
L025,NFL,England,American Football,651960000,1520000,Green Bay Packers,21,1957,229.16
L026,La Liga,Spain,Basketball,3391810000,9290000,Atletico Madrid,11,1897,241.97
L027,IPL,Germany,Basketball,4922160000,3330000,Kolkata Knight Riders,12,1958,449.12
